Date,Open,High,Low,Close,Volume,Currency
2013-07-03,6321.86,6414.12,6264.34,6305.06,0,BRL
2013-07-04,6305.81,6406.44,6305.81,6338.19,0,BRL
2013-07-05,6338.19,6338.76,6203.48,6321.32,0,BRL
2013-07-08,6323.25,6378.58,6291.36,6314.89,0,BRL
2013-07-10,6323.25,6430.41,6319.22,6361.91,0,BRL
2013-07-11,6366.14,6483.89,6366.14,6481.23,0,BRL
2013-07-12,6480.38,6486.0,6373.64,6383.64,0,BRL
2013-07-15,6383.95,6507.43,6383.95,6504.02,0,BRL
2013-07-16,6504.08,6557.02,6467.38,6509.4,0,BRL
2013-07-17,6509.4,6584.26,6506.39,6526.08,0,BRL
2013-07-18,6525.1,6587.15,6485.96,6568.82,0,BRL
2013-07-19,6568.73,6568.91,6509.42,6544.87,0,BRL
2013-07-22,6545.05,6669.3,6545.05,6647.22,0,BRL
2013-07-23,6647.27,6711.51,6617.06,6642.46,0,BRL
2013-07-24,6640.8,6650.47,6559.92,6599.0,0,BRL
2013-07-25,6598.15,6679.32,6551.25,6667.66,0,BRL
2013-07-26,6667.75,6694.76,6600.95,6682.36,0,BRL
2013-07-29,6682.36,6685.37,6629.02,6676.02,0,BRL
2013-07-30,6677.07,6694.36,6604.22,6615.99,0,BRL
2013-07-31,6615.99,6633.91,6560.91,6596.23,0,BRL
2013-08-01,6596.4,6686.51,6596.4,6679.93,0,BRL
2013-08-02,6680.83,6713.41,6624.66,6629.91,0,BRL
2013-08-05,6630.36,6660.87,6603.48,6635.71,0,BRL
2013-08-06,6635.71,6637.06,6498.23,6518.9,0,BRL
2013-08-07,6518.9,6524.38,6480.84,6502.63,0,BRL
2013-08-08,6500.84,6671.53,6478.36,6630.51,0,BRL
2013-08-09,6630.56,6752.09,6630.56,6731.02,0,BRL
2013-08-12,6731.02,6848.55,6709.9,6737.42,0,BRL
2013-08-13,6737.98,6782.66,6716.22,6773.33,0,BRL
2013-08-14,6771.85,6843.16,6743.98,6783.1,0,BRL
2013-08-15,6783.85,6789.47,6680.13,6735.83,0,BRL
2013-08-16,6734.44,6806.55,6724.02,6802.94,0,BRL
2013-08-19,6802.47,6860.38,6753.81,6811.91,0,BRL
2013-08-20,6809.13,6809.13,6708.61,6721.26,0,BRL
2013-08-21,6720.88,6772.21,6667.05,6712.31,0,BRL
2013-08-22,6713.29,6800.13,6710.94,6759.28,0,BRL
2013-08-23,6759.41,6818.61,6707.18,6818.61,0,BRL
2013-08-26,6819.58,6833.05,6746.96,6746.96,0,BRL
2013-08-27,6743.85,6743.85,6616.14,6639.65,0,BRL
2013-08-28,6639.26,6675.65,6599.64,6643.73,0,BRL
2013-08-29,6643.73,6756.12,6643.73,6715.97,0,BRL
2013-08-30,6718.19,6783.19,6685.89,6768.6,0,BRL
2013-09-02,6768.74,6941.31,6768.74,6910.69,0,BRL
2013-09-03,6909.83,6945.48,6811.99,6818.35,0,BRL
2013-09-04,6816.58,6858.95,6777.48,6840.44,0,BRL
2013-09-05,6840.22,6922.23,6804.17,6900.37,0,BRL
2013-09-06,6903.4,6981.81,6891.26,6969.42,0,BRL
2013-09-09,6970.4,7116.23,6958.05,7105.99,0,BRL
2013-09-10,7106.17,7190.89,7089.26,7124.55,0,BRL
2013-09-11,7125.54,7142.09,7037.18,7063.26,0,BRL
2013-09-12,7063.26,7110.46,6998.46,7012.93,0,BRL
2013-09-13,7013.37,7065.95,6983.44,7065.95,0,BRL
2013-09-16,7066.35,7139.43,7042.27,7070.2,0,BRL
2013-09-17,7070.99,7105.77,7044.32,7079.11,0,BRL
2013-09-18,7079.41,7234.03,7049.04,7222.07,0,BRL
